[ Info: Indexing package FaceDetection 1.0.0...
   Updating registry at `~/.julia/registries/General`
  Resolving package versions...
  Installed Xorg_libX11_jll ────────────── v1.6.9+4
  Installed Xorg_libXtst_jll ───────────── v1.2.3+4
  Installed SortingAlgorithms ──────────── v0.3.1
  Installed FFTViews ───────────────────── v0.3.1
  Installed Graphics ───────────────────── v1.0.2
  Installed hicolor_icon_theme_jll ─────── v0.17.0+3
  Installed Requires ───────────────────── v1.1.2
  Installed Libiconv_jll ───────────────── v1.16.0+7
  Installed FaceDetection ──────────────── v1.0.0
  Installed Gtk ────────────────────────── v1.1.5
  Installed DataStructures ─────────────── v0.18.8
  Installed Wayland_jll ────────────────── v1.17.0+4
  Installed Libffi_jll ─────────────────── v3.2.1+4
  Installed Compat ─────────────────────── v3.25.0
  Installed OffsetArrays ───────────────── v1.5.0
  Installed Wayland_protocols_jll ──────── v1.18.0+4
  Installed Reactive ───────────────────── v0.8.3
  Installed FileIO ─────────────────────── v1.4.5
  Installed Reexport ───────────────────── v0.2.0
  Installed ATK_jll ────────────────────── v2.34.1+5
  Installed FixedPointNumbers ──────────── v0.8.4
  Installed Colors ─────────────────────── v0.12.6
  Installed CustomUnitRanges ───────────── v1.0.0
  Installed Xorg_libXdamage_jll ────────── v1.1.5+4
  Installed IndirectArrays ─────────────── v0.5.1
  Installed LZO_jll ────────────────────── v2.10.0+3
  Installed ImageShow ──────────────────── v0.2.3
  Installed MKL_jll ────────────────────── v2020.2.254+0
  Installed ImageDraw ──────────────────── v0.2.4
  Installed at_spi2_atk_jll ────────────── v2.34.1+4
  Installed xkbcommon_jll ──────────────── v0.9.1+5
  Installed ColorTypes ─────────────────── v0.10.9
  Installed Xorg_libXi_jll ─────────────── v1.7.10+4
  Installed Xorg_libXfixes_jll ─────────── v5.0.3+4
  Installed Libglvnd_jll ───────────────── v1.3.0+3
  Installed Xorg_libXcursor_jll ────────── v1.2.0+4
  Installed StaticArrays ───────────────── v1.0.1
  Installed OpenSpecFun_jll ────────────── v0.5.3+4
  Installed AxisArrays ─────────────────── v0.4.3
  Installed EllipsisNotation ───────────── v1.0.0
  Installed Graphene_jll ───────────────── v1.10.0+2
  Installed Xorg_libXdmcp_jll ──────────── v1.1.3+4
  Installed StatsBase ──────────────────── v0.33.2
  Installed iso_codes_jll ──────────────── v4.3.0+4
  Installed Xorg_libXrender_jll ────────── v0.9.10+4
  Installed ImageMorphology ────────────── v0.2.9
  Installed Xorg_libpthread_stubs_jll ──── v0.1.0+3
  Installed QuartzImageIO ──────────────── v0.7.3
  Installed Ratios ─────────────────────── v0.4.0
  Installed OrderedCollections ─────────── v1.3.2
  Installed Graphite2_jll ──────────────── v1.3.13+4
  Installed Images ─────────────────────── v0.23.3
  Installed PCRE_jll ───────────────────── v8.42.0+4
  Installed Fontconfig_jll ─────────────── v2.13.1+14
  Installed ImageCore ──────────────────── v0.8.20
