[ Info: Indexing package NeuroAnalysis 1.0.0...
   Updating registry at `~/.julia/registries/General`
  Resolving package versions...
  Installed Qt_jll ─────────────────────── v5.15.2+1
  Installed Libiconv_jll ───────────────── v1.16.0+7
  Installed IteratorInterfaceExtensions ── v1.0.0
  Installed CommonSubexpressions ───────── v0.3.0
  Installed Graphics ───────────────────── v1.0.2
  Installed Requires ───────────────────── v1.1.2
  Installed GeometryBasics ─────────────── v0.3.5
  Installed NeuroAnalysis ──────────────── v1.0.0
  Installed NLSolversBase ──────────────── v7.5.0
  Installed ImageShow ──────────────────── v0.2.3
  Installed GLM ────────────────────────── v1.1.1
  Installed Wayland_protocols_jll ──────── v1.18.0+4
  Installed PDMats ─────────────────────── v0.10.1
  Installed IndirectArrays ─────────────── v0.5.1
  Installed FileIO ─────────────────────── v1.4.5
  Installed Colors ─────────────────────── v0.12.6
  Installed LibVPX_jll ─────────────────── v1.9.0+1
  Installed ImageSegmentation ──────────── v1.4.8
  Installed FilePaths ──────────────────── v0.8.1
  Installed OrderedCollections ─────────── v1.3.2
  Installed OpenSSL_jll ────────────────── v1.1.1+6
  Installed Tables ─────────────────────── v1.2.2
  Installed VegaLite ───────────────────── v2.3.0
  Installed Ogg_jll ────────────────────── v1.3.4+2
  Installed ColorVectorSpace ───────────── v0.8.7
  Installed MosaicViews ────────────────── v0.2.4
  Installed ComputationalResources ─────── v0.3.2
  Installed libvorbis_jll ──────────────── v1.3.6+6
  Installed Xorg_xkbcomp_jll ───────────── v1.4.2+4
  Installed ImageCore ──────────────────── v0.8.20
  Installed OptimBase ──────────────────── v2.0.1
  Installed NodeJS ─────────────────────── v1.1.1
  Installed CoordinateTransformations ──── v0.6.1
  Installed Combinatorics ──────────────── v1.0.2
  Installed Zlib_jll ───────────────────── v1.2.11+18
  Installed IdentityRanges ─────────────── v0.3.1
  Installed Adapt ──────────────────────── v2.4.0
  Installed Formatting ─────────────────── v0.4.2
  Installed ImageQualityIndexes ────────── v0.1.4
  Installed Opus_jll ───────────────────── v1.3.1+3
  Installed ProgressMeter ──────────────── v1.4.1
  Installed Plots ──────────────────────── v1.10.1
  Installed BinaryProvider ─────────────── v0.5.10
  Installed Xorg_libXext_jll ───────────── v1.3.4+4
  Installed Missings ───────────────────── v0.4.4
  Installed SpecialFunctions ───────────── v0.10.3
  Installed StructArrays ───────────────── v0.4.4
  Installed ImageAxes ──────────────────── v0.6.8
  Installed Observables ────────────────── v0.3.3
  Installed Blosc_jll ──────────────────── v1.14.3+1
  Installed Libtiff_jll ────────────────── v4.1.0+2
  Installed RangeArrays ────────────────── v0.3.2
  Installed Xorg_libXinerama_jll ───────── v1.1.4+4
  Installed JSONSchema ─────────────────── v0.2.0
  Installed MacroTools ─────────────────── v0.5.6
  Installed WoodburyMatrices ───────────── v0.5.3
  Installed EzXML ──────────────────────── v1.1.0
  Installed CodecZlib ──────────────────── v0.7.0
  Installed LZO_jll ────────────────────── v2.10.0+3
  Installed FixedPointNumbers ──────────── v0.8.4
  Installed ExprTools ──────────────────── v0.1.3
  Installed FFMPEG_jll ─────────────────── v4.3.1+4
  Installed TableTraitsUtils ───────────── v1.0.1
  Installed NearestNeighbors ───────────── v0.4.8
  Installed DataFrames ─────────────────── v0.21.8
  Installed Xorg_libXfixes_jll ─────────── v5.0.3+4
  Installed xkbcommon_jll ──────────────── v0.9.1+5
  Installed Xorg_libXcursor_jll ────────── v1.2.0+4
  Installed SimpleWeightedGraphs ───────── v1.1.1
  Installed AxisArrays ─────────────────── v0.4.3
  Installed Parsers ────────────────────── v1.0.15
  Installed ForwardDiff ────────────────── v0.10.14
  Installed Xorg_libXdmcp_jll ──────────── v1.1.3+4
  Installed ANOVA ──────────────────────── v0.1.0
  Installed SentinelArrays ─────────────── v1.2.16
  Installed Fontconfig_jll ─────────────── v2.13.1+14
  Installed Grisu ──────────────────────── v1.0.0
  Installed libpng_jll ─────────────────── v1.6.37+6
  Installed EarCut_jll ─────────────────── v2.1.5+1
  Installed Images ─────────────────────── v0.22.5
  Installed PositiveFactorizations ─────── v0.2.4
  Installed Xorg_xtrans_jll ────────────── v1.4.0+3
  Installed Zstd_jll ───────────────────── v1.4.5+2
  Installed FillArrays ─────────────────── v0.8.14
  Installed QuadGK ─────────────────────── v2.4.1
  Installed AbstractFFTs ───────────────── v1.0.0
  Installed Artifacts ──────────────────── v1.3.0
  Installed Xorg_xcb_util_jll ──────────── v0.4.0+1
  Installed MbedTLS ────────────────────── v1.0.3
  Installed JLLWrappers ────────────────── v1.2.0
  Installed PaddedViews ────────────────── v0.5.7
  Installed TiledIteration ─────────────── v0.2.5
  Installed FFMPEG ─────────────────────── v0.4.0
  Installed DataAPI ────────────────────── v1.4.0
  Installed Xorg_libXrandr_jll ─────────── v1.5.2+4
  Installed Cairo_jll ──────────────────── v1.16.0+6
  Installed BufferedStreams ────────────── v1.0.0
  Installed YAML ───────────────────────── v0.4.5
  Installed Rotations ──────────────────── v1.0.2
  Installed DiffRules ──────────────────── v1.0.2
  Installed AxisAlgorithms ─────────────── v1.0.0
  Installed Expat_jll ──────────────────── v2.2.7+6
  Installed CompilerSupportLibraries_jll ─ v0.3.4+0
  Installed GR_jll ─────────────────────── v0.53.0+0
  Installed MultivariateStats ──────────── v0.7.0
  Installed Contour ────────────────────── v0.5.7
  Installed libfdk_aac_jll ─────────────── v0.1.6+4
  Installed CategoricalArrays ──────────── v0.8.3
  Installed ArnoldiMethod ──────────────── v0.0.4
  Installed DataValues ─────────────────── v0.4.13
  Installed ImageContrastAdjustment ────── v0.3.6
  Installed LAME_jll ───────────────────── v3.100.0+3
  Installed CatIndices ─────────────────── v0.2.1
  Installed Trapz ──────────────────────── v2.0.2
  Installed Showoff ────────────────────── v0.3.2
  Installed ImageMetadata ──────────────── v0.9.4
  Installed FFTW_jll ───────────────────── v3.3.9+7
  Installed Blosc ──────────────────────── v0.7.0
  Installed Optim ──────────────────────── v0.20.1
  Installed Xorg_libxkbfile_jll ────────── v1.1.0+4
  Installed Lz4_jll ────────────────────── v1.9.2+2
  Installed HTTP ───────────────────────── v0.8.19
  Installed GLFW_jll ───────────────────── v3.3.2+1
  Installed Vega ───────────────────────── v2.0.0
  Installed LsqFit ─────────────────────── v0.11.0
  Installed HDF5_jll ───────────────────── v1.10.5+7
  Installed Xorg_libX11_jll ────────────── v1.6.9+4
  Installed LightGraphs ────────────────── v1.3.4
  Installed Rmath_jll ──────────────────── v0.2.2+1
